"","latitude","longitude","date","depth","temperature","salinity","chl_ctd","pc_ctd","cdom_ctd","chl_a676","X","Z"
"1",38.3239,-74.9778,"2018-11-02 00:06:13.0",1,17.2087,30.6084,1.3431,0.0427,3.4314,6.2888,NA,-17
"2",38.279,-74.9728,"2018-11-02 00:25:32.0",1,17.4779,31.2574,1.1374,0,3.0702,5.6533,NA,-20
"3",38.2358,-74.968,"2018-11-02 00:45:33.0",1,17.6528,31.2127,1.6335,0.0854,3.1605,6.3033,NA,-13
"4",38.1949,-74.9632,"2018-11-02 01:05:31.0",1,17.8028,31.352,1.9239,0.0427,3.1605,6.8271,NA,-19
"5",38.1538,-74.9589,"2018-11-02 01:25:32.0",1,17.8213,31.4398,2.2506,0.0427,2.7993,7.1962,NA,-19
"6",38.1133,-74.9545,"2018-11-02 01:45:32.0",1,17.8761,31.5088,1.5246,0.0854,2.8896,6.0634,NA,-20
"7",38.0751,-74.9503,"2018-11-02 02:05:31.0",1,17.9981,31.6097,1.6456,0.0427,2.709,5.7252,NA,-20
"8",38.0363,-74.9536,"2018-11-02 02:25:31.0",1,18.0396,31.6353,1.4702,0.0854,2.5284,NA,NA,-23
"9",37.9997,-74.9583,"2018-11-02 02:45:32.0",1,18.0031,31.7078,1.2221,0.0427,2.5284,-1.9958,NA,-21
"10",38.0067,-74.9583,"2018-11-02 03:00:00.0",1,17.28,31.799,0.68,NA,NA,NA,NA,-21
"11",38.0091,-74.9564,"2018-11-02 03:05:31.0",1,17.9911,31.7089,1.2221,0.0427,2.6187,0.8028,NA,-21
"12",38.0241,-74.955,"2018-11-02 03:25:32.0",1,17.9893,31.7011,1.2705,0.0427,2.6187,NA,NA,-22
"13",37.9954,-74.9399,"2018-11-02 04:05:31.0",1,18.1812,31.7295,1.2584,0,2.5284,1.8625,NA,-24
"14",37.9657,-74.9352,"2018-11-02 04:25:32.0",1,18.2735,31.7995,0.9801,0.0427,2.5284,2.4147,NA,-26
"15",37.9374,-74.9306,"2018-11-02 04:45:31.0",1,18.1782,31.9366,1.1253,0,2.3478,2.5601,NA,-22
"16",37.9109,-74.9264,"2018-11-02 05:05:31.0",1,18.0939,31.9691,1.0769,-0.0427,2.3478,2.4699,NA,-23
"17",37.8842,-74.9222,"2018-11-02 05:25:33.0",1,18.1811,31.9892,1.0648,0,2.2575,2.4444,NA,-29
"18",37.8562,-74.9187,"2018-11-02 05:45:33.0",1,18.1581,32.0272,1.0527,0.0427,2.1672,2.3418,NA,-31
"19",37.8303,-74.9206,"2018-11-02 06:05:32.0",1,18.0656,32.0321,1.0285,0.0214,2.1672,2.392,NA,-31
"20",37.8283,-74.9204,"2018-11-02 06:25:31.0",1,18.0773,32.0931,1.1495,0.0214,2.0769,2.306,NA,-31
"21",37.8089,-74.9198,"2018-11-02 06:45:31.0",1,18.0176,32.2002,0.9801,0,2.0318,2.2512,NA,-29
"22",37.7814,-74.9186,"2018-11-02 07:05:33.0",1,17.9905,32.23,0.968,-0.0427,1.9866,2.1777,NA,-28
"23",37.7559,-74.9176,"2018-11-02 07:25:31.0",1,17.983,32.2411,0.7381,0,2.0769,1.9404,NA,-27
"24",37.7303,-74.917,"2018-11-02 07:45:32.0",1,17.8123,32.3347,0.9075,0.0427,2.0769,NA,NA,-26
"25",37.704,-74.9156,"2018-11-02 08:05:31.0",1,17.9644,32.4003,0.9438,0.0427,2.4381,-3.6392,NA,-32
"26",37.6771,-74.9159,"2018-11-02 08:25:31.0",1,17.9368,32.4686,0.484,0,2.0769,1.557,NA,-26
"27",37.6656,-74.9142,"2018-11-02 08:45:32.0",1,18.0401,32.4683,0.605,-0.0427,1.8963,1.6466,NA,-32
"28",37.6571,-74.9244,"2018-11-02 09:05:31.0",1,18.0055,32.507,0.6171,0,1.806,1.7087,NA,-33
"29",37.6604,-74.9687,"2018-11-02 09:25:31.0",1,18.0573,32.5601,0.7865,0,1.8963,1.7908,NA,-27
"30",37.6628,-75.0114,"2018-11-02 09:45:32.0",1,18.2538,32.2874,0.9438,0.0427,1.8963,1.9764,NA,-27
"31",37.6647,-75.0527,"2018-11-02 10:05:33.0",1,18.3546,32.2389,0.7623,-0.0427,1.9866,1.8681,NA,-26
"32",37.667,-75.0958,"2018-11-02 10:25:31.0",1,18.4611,32.1792,0.6897,-0.0427,2.1221,1.8591,NA,-28
"33",37.6692,-75.1386,"2018-11-02 10:45:31.0",1,18.6135,32.1923,0.8954,0.0427,2.0769,2.0804,NA,-27
"34",37.6693,-75.1804,"2018-11-02 11:05:32.0",1,18.7674,32.0892,0.7986,-0.0427,2.0769,2.1023,NA,-25
"35",37.669,-75.2243,"2018-11-02 11:25:31.0",1,18.7911,31.8722,1.0164,0,2.1672,2.21,NA,-23
"36",37.6681,-75.2707,"2018-11-02 11:45:31.0",1,19.0276,31.9195,1.0285,0.0427,2.0769,0.3368,NA,-23
"37",37.6663,-75.3179,"2018-11-02 12:05:31.0",1,19.0038,31.7607,1.0164,0.0214,2.1672,NA,NA,-17
"38",37.6641,-75.3666,"2018-11-02 12:25:31.0",1,18.8307,31.5616,1.1616,0.0214,2.3478,4.238,NA,-13
"39",37.6652,-75.4174,"2018-11-02 12:45:32.0",1,18.7838,31.4137,1.6819,0,2.6187,6.0772,NA,-15
"40",37.6701,-75.4225,"2018-11-02 13:05:32.0",1,18.6675,31.3533,1.8332,0.0427,2.8896,6.801,NA,-15
"41",37.6455,-75.4301,"2018-11-02 13:25:32.0",1,18.7278,31.4161,1.8876,0,2.7542,6.5462,NA,-15
"42",37.6111,-75.4395,"2018-11-02 13:45:32.0",1,18.6223,31.391,1.7666,0.0427,2.6187,5.4985,NA,-16
"43",37.579,-75.451,"2018-11-02 14:05:32.0",1,18.6331,31.4128,1.4399,0,2.5284,4.8902,NA,-15
"44",37.5464,-75.4632,"2018-11-02 14:25:31.0",1,18.6677,31.4048,1.2221,0,2.4381,4.6024,NA,-12
"45",37.5141,-75.4736,"2018-11-02 14:45:31.0",1,18.7068,31.166,1.7303,0.0427,2.3478,5.8724,NA,-14
"46",37.4841,-75.4826,"2018-11-02 15:05:31.0",1,18.788,31.0847,1.8755,0,2.709,6.1999,NA,-14
"47",37.451,-75.4921,"2018-11-02 15:25:32.0",1,18.9388,30.96,1.7908,0.0854,2.6187,6.0146,NA,-18
"48",37.4168,-75.5019,"2018-11-02 15:45:32.0",1,19.054,30.9901,1.5004,0.0427,2.6187,5.4906,NA,-18
"49",37.3835,-75.5107,"2018-11-02 16:05:31.0",1,19.1035,30.673,1.5488,0.0427,2.6187,5.8338,NA,-18
"50",37.3493,-75.5205,"2018-11-02 16:25:31.0",1,19.0803,30.2835,1.7666,0.0427,2.709,6.3463,NA,-16
"51",37.3156,-75.5326,"2018-11-02 16:45:32.0",1,19.0683,29.5165,2.1417,0.0854,3.1605,7.4615,NA,-16
"52",37.2823,-75.5452,"2018-11-02 17:05:32.0",1,19.1507,29.1983,2.2687,0,3.2508,7.7763,NA,-15
"53",37.2487,-75.5571,"2018-11-02 17:25:32.0",1,19.0452,28.3827,2.4321,0,3.4314,8.0655,NA,-18
"54",37.2141,-75.5696,"2018-11-02 17:45:32.0",1,18.9826,27.5057,3.0008,0.0427,4.0635,9.5909,NA,-15
"55",37.181,-75.5819,"2018-11-02 18:05:32.0",1,18.9333,26.5723,3.9567,0.0854,4.4247,11.8713,NA,-17
"56",37.1467,-75.5953,"2018-11-02 18:25:32.0",1,18.9309,26.03,4.2834,0.0427,4.7859,12.5485,NA,-17
