"","latitude","longitude","date","depth","temperature","salinity","chl_ctd","pc_ctd","cdom_ctd","chl_a676","X","Z"
"1",41.3292,-71.1729,"2019-10-15 20:24:58.0",5,17.7186,31.8836,2.541,0.8113,23.7489,4.5597,NA,-30
"2",41.3249,-71.1672,"2019-10-15 20:34:53.0",5,17.6537,31.8874,2.6681,0.8113,19.4596,4.6249,NA,-31
"3",41.2997,-71.1686,"2019-10-15 20:44:51.0",5,17.8079,31.8771,2.6559,0.9394,19.9111,4.4199,NA,-27
"4",41.2734,-71.1696,"2019-10-15 20:54:51.0",5,17.7494,31.7902,1.2342,0.7046,20.5884,3.4447,NA,-36
"5",41.2473,-71.1699,"2019-10-15 21:04:52.0",5,17.7512,31.7828,2.2869,0.5978,20.4078,3.717,NA,-38
"6",41.2217,-71.1687,"2019-10-15 21:14:52.0",5,17.7812,31.8443,2.1477,0.7259,19.2339,4.6566,NA,-42
"7",41.1911,-71.1676,"2019-10-15 21:24:52.0",5,17.7531,31.8578,2.9221,0.5124,20.9496,5.0233,NA,-38
"8",41.1705,-71.1672,"2019-10-15 21:34:52.0",5,17.6108,31.9412,1.7182,0.6619,21.7623,3.8987,NA,-40
"9",41.1443,-71.1685,"2019-10-15 21:44:53.0",5,17.5768,31.914,2.2506,0.2135,21.9429,3.8238,NA,-38
"10",41.1181,-71.1694,"2019-10-15 21:54:53.0",5,17.675,31.9357,3.1339,0.8967,21.6269,3.8136,NA,-36
"11",41.0921,-71.1694,"2019-10-15 22:04:52.0",5,17.5369,31.8606,1.9239,0.7259,6.5016,3.6275,NA,-35
"12",41.0817,-71.1697,"2019-10-15 22:14:52.0",5,17.2547,31.7771,1.7061,0.3843,19.6854,3.6426,NA,-33
"13",41.0765,-71.1704,"2019-10-15 22:24:52.0",5,17.1696,31.7549,2.299,0.5551,12.642,3.7259,NA,-33
"14",41.0601,-71.1844,"2019-10-15 22:34:52.0",5,17.3871,31.7714,1.6819,0.2135,22.6653,3.5736,NA,-35
"15",41.0416,-71.2089,"2019-10-15 22:44:52.0",5,17.3935,31.9619,1.9542,0.2562,24.381,4.0597,NA,-39
"16",41.0208,-71.2299,"2019-10-15 22:54:52.0",5,17.3687,32.0825,1.7182,0.6832,15.4413,3.5033,NA,-50
"17",41.0019,-71.2476,"2019-10-15 23:04:53.0",5,17.1876,32.0712,1.8029,0.3843,10.2039,3.9209,NA,-44
"18",40.9961,-71.2508,"2019-10-15 23:14:53.0",5,16.9157,32.1283,2.3837,1.8148,18.4663,4.1356,NA,-44
"19",40.9824,-71.2555,"2019-10-15 23:24:52.0",5,17.0407,32.2223,4.0293,0.4697,24.1101,4.5849,NA,-48
"20",40.9537,-71.2633,"2019-10-15 23:34:52.0",5,16.8628,32.089,3.6481,0.7259,17.6988,4.5585,NA,-50
"21",40.9403,-71.283,"2019-10-15 23:44:52.0",5,16.9061,32.1028,1.9118,0.1281,16.7055,4.4645,NA,-51
"22",40.9224,-71.3069,"2019-10-15 23:55:12.0",5,16.8609,32.1476,1.9784,0.1281,NA,4.1861,NA,-53
"23",40.9026,-71.3286,"2019-10-16 00:04:53.0",5,16.8693,32.1593,1.6698,0.3416,20.1369,4.7291,NA,-54
"24",40.8823,-71.3494,"2019-10-16 00:14:52.0",5,16.8794,32.2084,NA,1.5158,14.448,4.7829,NA,-55
"25",40.8658,-71.3751,"2019-10-16 00:24:52.0",5,17.0625,32.2689,1.3552,0.6405,16.9764,3.6143,NA,-55
"26",40.8518,-71.4035,"2019-10-16 00:34:52.0",5,17.0979,32.2773,1.9058,0.8113,24.2004,3.5779,NA,-56
"27",40.8399,-71.4333,"2019-10-16 00:44:51.0",5,17.1027,32.285,1.9239,0.3843,5.9598,3.6998,NA,-56
"28",40.8305,-71.4649,"2019-10-16 00:54:51.0",5,16.9733,32.3442,3.2912,0.6619,NA,3.5244,NA,-60
"29",40.8212,-71.4959,"2019-10-16 01:04:51.0",5,17.0139,32.3585,3.4061,0.0854,14.6738,3.7692,NA,-60
"30",40.8058,-71.5209,"2019-10-16 01:14:52.0",5,17.081,32.4229,2.3958,0.6619,3.9732,3.1287,NA,-60
"31",40.7892,-71.5443,"2019-10-16 01:24:51.0",5,17.1875,32.488,2.8011,0.0427,24.5616,3,NA,-59
"32",40.7725,-71.5674,"2019-10-16 01:34:52.0",5,17.3051,32.643,1.5791,0.5978,2.3478,3.2367,NA,-61
"33",40.7559,-71.5904,"2019-10-16 01:44:52.0",5,17.4397,32.8028,3.4243,0.0854,24.381,3.8591,NA,-60
"34",40.7396,-71.6141,"2019-10-16 01:54:52.0",5,17.7169,33.1283,3.3517,0.6832,3.2508,3.2186,NA,-65
"35",40.7237,-71.6395,"2019-10-16 02:04:52.0",5,17.4157,32.7953,2.9524,0.2135,20.4078,2.4897,NA,-67
