SST,Cmpn,Dpn,Cmp,Dp
15.84,1.188,0.804,0.37,0.274
15.89,1.149,0.809,0.367,0.273
15.94,1.114,0.812,0.363,0.271
16,1.11,0.81,0.36,0.27
16.05,1.131,0.804,0.361,0.269
16.11,1.15,0.801,0.366,0.267
16.17,1.162,0.802,0.372,0.265
16.23,1.174,0.804,0.376,0.265
16.29,1.179,0.806,0.377,0.266
16.34,1.194,0.806,0.379,0.266
16.4,1.218,0.804,0.384,0.266
16.47,1.247,0.802,0.39,0.266
16.53,1.267,0.801,0.396,0.265
16.6,1.287,0.8,0.403,0.263
16.66,1.317,0.797,0.409,0.261
16.73,1.357,0.793,0.416,0.26
16.79,1.403,0.787,0.426,0.261
16.86,1.445,0.784,0.438,0.26
16.93,1.451,0.785,0.447,0.258
17,1.424,0.789,0.452,0.256
17.07,1.377,0.796,0.449,0.255
17.14,1.358,0.799,0.44,0.256
17.21,1.38,0.799,0.427,0.26
17.28,1.427,0.794,0.422,0.262
17.35,1.459,0.789,0.425,0.262
17.43,1.473,0.787,0.429,0.26
17.5,1.488,0.789,0.43,0.26
17.58,1.52,0.792,0.426,0.261
17.65,1.558,0.792,0.422,0.263
17.73,1.588,0.792,0.419,0.265
17.8,1.593,0.795,0.418,0.267
17.88,1.58,0.8,0.414,0.267
17.96,1.559,0.806,0.409,0.268
18.04,1.554,0.809,0.408,0.268
18.12,1.584,0.808,0.413,0.267
18.2,1.627,0.803,0.418,0.265
18.28,1.654,0.8,0.419,0.265
18.36,1.666,0.801,0.417,0.265
18.44,1.681,0.806,0.416,0.264
18.53,1.7,0.812,0.418,0.263
18.61,1.712,0.817,0.419,0.263
18.7,1.719,0.819,0.42,0.263
18.79,1.748,0.818,0.415,0.264
18.87,1.805,0.816,0.408,0.267
18.96,1.851,0.817,0.399,0.27
19.05,1.865,0.82,0.391,0.272
19.14,1.865,0.824,0.381,0.276
19.23,1.86,0.826,0.373,0.281
19.33,1.851,0.828,0.36,0.287
19.42,1.845,0.827,0.343,0.293
19.52,1.859,0.824,0.33,0.297
19.62,1.882,0.819,0.321,0.299
19.72,1.901,0.816,0.311,0.304
19.82,1.902,0.813,0.299,0.311
19.91,1.909,0.81,0.291,0.313
20.01,1.921,0.807,0.288,0.313
20.12,1.942,0.803,0.286,0.312
20.22,1.951,0.797,0.281,0.315
20.32,1.939,0.794,0.269,0.322
20.42,1.915,0.794,0.242,0.343
20.53,1.889,0.794,0.206,0.375
20.63,1.861,0.793,0.17,0.427
20.74,1.814,0.79,0.141,0.501
20.85,1.758,0.787,0.119,0.583
20.96,1.709,0.784,0.108,0.646
21.07,1.692,0.781,0.103,0.681
21.18,1.683,0.778,0.098,0.723
21.29,1.661,0.775,0.095,0.743
21.4,1.61,0.775,0.094,0.745
21.51,1.577,0.773,0.091,0.744
21.62,1.575,0.77,0.086,0.756
21.73,1.584,0.767,0.083,0.765
21.84,1.568,0.765,0.083,0.765
21.96,1.544,0.764,0.085,0.764
22.07,1.543,0.761,0.086,0.761
22.18,1.552,0.759,0.088,0.759
22.29,1.548,0.759,0.089,0.759
22.4,1.515,0.764,0.089,0.764
22.51,1.477,0.771,0.088,0.771
22.61,1.446,0.777,0.089,0.777
22.72,1.428,0.779,0.09,0.779
22.83,1.415,0.778,0.091,0.778
22.94,1.405,0.777,0.091,0.777
23.05,1.419,0.777,0.092,0.777
23.17,1.438,0.78,0.091,0.78
